e3 -16.55786,176.19073,-151.18240
a3 0.28906,0.07275,-0.96338
g3 -0.12195,-0.12195,-0.06098
e3 -16.55874,176.19305,-151.18384
a3 0.28857,0.06445,-0.96338
g3 -0.06098,-0.06098,-0.06098
e3 -16.56204,176.19203,-151.18472
a3 0.28857,0.06348,-0.95459
g3 -0.06098,-0.18293,0.06098
e3 -16.56057,176.19095,-151.18414
a3 0.28906,0.06934,-0.96191
g3 0.06098,0.00000,-0.12195
e3 -16.55976,176.18971,-151.18495
a3 0.29004,0.06348,-0.96729
g3 0.00000,0.00000,0.12195
e3 -16.56131,176.19058,-151.18585
a3 0.29297,0.06396,-0.96289
g3 0.00000,-0.06098,0.00000
e3 -16.56178,176.19206,-151.18622
a3 0.28174,0.06494,-0.95947
g3 0.00000,0.00000,-0.12195
e3 -16.56337,176.19368,-151.18617
a3 0.28613,0.06885,-0.96387
g3 -0.06098,-0.06098,-0.06098
e3 -16.56339,176.19086,-151.18567
a3 0.27979,0.06006,-0.96924
g3 -0.06098,-0.12195,-0.12195
e3 -16.56204,176.18980,-151.18488
a3 0.29199,0.05469,-0.96143
g3 0.00000,0.06098,-0.18293
e3 -16.56746,176.19363,-151.18727
a3 0.28857,0.06201,-0.96826
g3 0.00000,0.06098,0.06098
e3 -16.56612,176.19748,-151.19023
a3 0.29102,0.06787,-0.96240
g3 -0.06098,-0.06098,-0.06098
e3 -16.56417,176.19777,-151.18938
a3 0.28809,0.06836,-0.95703
g3 0.06098,0.00000,-0.12195
e3 -16.56228,176.19768,-151.18933
a3 0.27832,0.06494,-0.96826
g3 -0.06098,-0.18293,-0.12195
e3 -16.56240,176.19310,-151.18857
a3 0.28906,0.05615,-0.95654
g3 -0.12195,-0.12195,-0.06098
e3 -16.56048,176.19659,-151.19016
a3 0.28516,0.05518,-0.96387
g3 0.00000,-0.12195,0.00000
e3 -16.55766,176.19693,-151.19067
a3 0.28320,0.06055,-0.98096
g3 -0.12195,-0.06098,-0.12195
e3 -16.55528,176.20035,-151.19237
a3 0.28711,0.06445,-0.97168
g3 -0.06098,-0.06098,-0.06098
e3 -16.55334,176.19745,-151.19160
a3 0.28809,0.06299,-0.96094
g3 -0.06098,-0.06098,-0.06098
e3 -16.55390,176.19608,-151.19107
a3 0.28076,0.07422,-0.95313
g3 0.00000,0.00000,0.00000
e3 -16.55363,176.19481,-151.19185
a3 0.28809,0.06592,-0.96191
g3 -0.06098,-0.06098,0.06098
e3 -16.55789,176.19560,-151.19476
a3 0.28809,0.06494,-0.95117
g3 0.00000,-0.06098,0.12195
e3 -16.55746,176.19814,-151.19608
a3 0.28906,0.06934,-0.95410
g3 -0.12195,-0.12195,0.00000
e3 -16.56041,176.19548,-151.19620
a3 0.28906,0.06592,-0.95508
g3 -0.12195,-0.06098,0.00000
e3 -16.56472,176.19505,-151.19698
a3 0.28760,0.06299,-0.95752
g3 -0.06098,-0.06098,0.00000
e3 -16.56924,176.19456,-151.19789
a3 0.28174,0.06299,-0.95117
g3 -0.06098,-0.18293,0.00000
e3 -16.57168,176.19301,-151.19775
a3 0.28809,0.06348,-0.96777
g3 -0.06098,-0.06098,-0.06098
e3 -16.57148,176.19345,-151.19708
